vOTU,size
vOTU_2,249751
vOTU_13,85230
vOTU_25,53249
vOTU_28,50639
vOTU_29,49933
vOTU_32,46452
vOTU_46,34144
vOTU_52,32096
vOTU_57,30617
vOTU_60,29995
vOTU_64,27830
vOTU_65,27557
vOTU_68,27178
vOTU_72,26683
vOTU_73,26412
vOTU_79,25237
vOTU_81,24997
vOTU_84,24647
vOTU_91,24006
vOTU_96,22640
vOTU_98,22531
vOTU_110,20656
vOTU_111,20562
vOTU_112,20557
vOTU_115,20383
vOTU_116,20348
vOTU_117,20348
vOTU_121,20062
vOTU_124,19788
vOTU_129,18637
vOTU_130,18539
vOTU_138,17488
vOTU_141,17372
vOTU_148,17051
vOTU_181,16630
vOTU_196,15880
vOTU_198,15850
vOTU_211,15289
vOTU_212,15246
vOTU_225,14525
vOTU_246,13579
vOTU_270,13032
vOTU_271,13020
vOTU_273,12998
vOTU_280,12854
vOTU_286,12686
vOTU_292,12547
vOTU_295,12509
vOTU_297,12391
vOTU_299,12348
vOTU_300,12313
vOTU_304,12188
vOTU_312,11957
vOTU_313,11952
vOTU_315,11881
vOTU_337,11480
vOTU_342,11339
vOTU_343,11296
vOTU_344,11240
vOTU_373,11005
vOTU_374,10977
vOTU_376,10958
vOTU_380,10905
vOTU_384,10854
vOTU_389,10831
vOTU_391,10824
vOTU_400,10745
vOTU_410,10640
vOTU_411,10614
vOTU_418,10514
vOTU_441,10255
vOTU_442,10251
vOTU_448,10198
vOTU_456,10093
vOTU_461,10026
vOTU_471,9863
vOTU_472,9859
vOTU_476,9839
vOTU_481,9809
vOTU_484,9776
vOTU_486,9749
vOTU_495,9669
vOTU_497,9657
vOTU_508,9492
vOTU_517,9377
vOTU_519,9348
vOTU_521,9325
vOTU_523,9277
vOTU_531,9193
vOTU_532,9174
vOTU_539,9098
vOTU_542,9084
vOTU_551,8983
vOTU_553,8964
vOTU_570,8802
vOTU_575,8770
vOTU_579,8705
vOTU_585,8657
vOTU_587,8642
vOTU_591,8608
vOTU_592,8608
vOTU_609,8463
vOTU_610,8448
vOTU_612,8439
vOTU_614,8429
vOTU_619,8393
vOTU_621,8376
vOTU_636,8298
vOTU_660,8149
vOTU_667,8112
vOTU_690,7932
vOTU_697,7914
vOTU_706,7847
vOTU_715,7782
vOTU_725,7742
vOTU_736,7668
vOTU_790,7404
vOTU_796,7390
vOTU_814,7322
vOTU_817,7320
vOTU_841,7277
vOTU_850,7236
vOTU_854,7227
vOTU_860,7203
vOTU_863,7199
vOTU_865,7184
vOTU_892,7090
vOTU_925,6972
vOTU_937,6932
vOTU_957,6857
vOTU_964,6843
vOTU_971,6837
vOTU_972,6837
vOTU_982,6803
vOTU_990,6789
vOTU_998,6746
vOTU_1004,6731
vOTU_1012,6721
vOTU_1014,6710
vOTU_1016,6704
vOTU_1022,6685
vOTU_1037,6659
vOTU_1092,6520
vOTU_1104,6500
vOTU_1109,6489
vOTU_1110,6470
vOTU_1111,6466
vOTU_1122,6442
vOTU_1130,6419
vOTU_1173,6284
vOTU_1205,6220
vOTU_1211,6201
vOTU_1212,6201
vOTU_1224,6186
vOTU_1225,6185
vOTU_1227,6182
vOTU_1231,6174
vOTU_1240,6166
vOTU_1248,6149
vOTU_1255,6130
vOTU_1263,6105
vOTU_1264,6102
vOTU_1269,6096
vOTU_1270,6094
vOTU_1273,6092
vOTU_1275,6090
vOTU_1283,6071
vOTU_1288,6066
vOTU_1368,5909
vOTU_1391,5877
vOTU_1406,5862
vOTU_1407,5859
vOTU_1450,5801
vOTU_1455,5795
vOTU_1494,5755
vOTU_1517,5727
vOTU_1521,5725
vOTU_1534,5710
vOTU_1537,5701
vOTU_1546,5695
vOTU_1562,5658
vOTU_1565,5655
vOTU_1627,5588
vOTU_1640,5570
vOTU_1643,5568
vOTU_1656,5551
vOTU_1664,5536
vOTU_1689,5512
vOTU_1694,5509
vOTU_1696,5492
vOTU_1699,5489
vOTU_1714,5462
vOTU_1717,5460
vOTU_1720,5454
vOTU_1732,5444
vOTU_1750,5425
vOTU_1781,5377
vOTU_1806,5345
vOTU_1810,5334
vOTU_1837,5298
vOTU_1851,5288
vOTU_1856,5275
vOTU_1860,5269
vOTU_1863,5267
vOTU_1867,5264
vOTU_1868,5263
vOTU_1876,5248
vOTU_1877,5248
vOTU_1883,5241
vOTU_1893,5228
vOTU_1932,5188
vOTU_1941,5180
vOTU_1943,5178
vOTU_1945,5174
vOTU_1955,5162
vOTU_1961,5158
vOTU_1983,5138
vOTU_1993,5129
vOTU_2108,5030
vOTU_2148,4988
vOTU_2149,4988
vOTU_2161,4975
vOTU_2175,4960
vOTU_2182,4957
vOTU_2186,4954
vOTU_2201,4936
vOTU_2202,4936
vOTU_2225,4918
vOTU_2259,4894
vOTU_2260,4894
vOTU_2270,4885
vOTU_2274,4879
vOTU_2362,4823
vOTU_2412,4791
vOTU_2451,4766
vOTU_2466,4755
vOTU_2496,4731
vOTU_2512,4720
vOTU_2514,4719
vOTU_2550,4702
vOTU_2552,4702
vOTU_2567,4693
vOTU_2595,4677
vOTU_2618,4663
vOTU_2619,4663
vOTU_2650,4646
vOTU_2681,4639
vOTU_2711,4626
vOTU_2714,4626
vOTU_2722,4622
vOTU_2736,4615
vOTU_2772,4596
vOTU_2780,4591
vOTU_2781,4591
vOTU_2785,4588
vOTU_2806,4576
vOTU_2820,4569
vOTU_2865,4539
vOTU_2866,4539
vOTU_2869,4539
vOTU_2886,4528
vOTU_2912,4514
vOTU_2918,4509
vOTU_2920,4508
vOTU_2937,4505
vOTU_2941,4503
vOTU_2945,4503
vOTU_2979,4481
vOTU_2980,4481
vOTU_2983,4479
vOTU_2986,4477
vOTU_2987,4476
vOTU_2998,4473
vOTU_3003,4471
vOTU_3016,4467
vOTU_3026,4462
