Sample_ID,Sample_name,Original_sample_ID,Sample_or_Control,Sample_type,Library_method,Life_condition,Health_phenotype,Weight_g,Length_cm,Kfactor,Gender,Stomach_content,Tapeworm,Nematode,Location,quant_reading,LetSea_Tank
NXT065-CP-H01-SSLR,H01_SSLR,104,True Sample,Gut_content,SSLR,Farmed,Healthy,223.6,25.7,1.317262806,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-S01-SSLR,S01_SSLR,102,True Sample,Gut_content,SSLR,Farmed,Sick,146.6,25,0.93824,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C01-SSLR,C01_SSLR,6,True Sample,Gut_content,SSLR,Wild,,3056,64,1.166,M,Fish,No,No,Alta,,
NXT065-CP-M01-SSLR,M01_SSLR,6,True Sample,Gut_mucus,SSLR,Wild,,3056,64,1.166,M,Fish,No,No,Alta,,
NXT065-CP-H02-SSLR,H02_SSLR,304,True Sample,Gut_content,SSLR,Farmed,Healthy,184.8,25.5,1.114503472,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-S02-SSLR,S02_SSLR,108,True Sample,Gut_content,SSLR,Farmed,Sick,171.2,25.1,1.082636328,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C02-SSLR,C02_SSLR,10,True Sample,Gut_content,SSLR,Wild,,4216,73,1.084,M,Fish,Yes,No,Alta,,
NXT065-CP-M02-SSLR,M02_SSLR,10,True Sample,Gut_mucus,SSLR,Wild,,4216,73,1.084,M,Fish,Yes,No,Alta,,
NXT065-CP-H03-SSLR,H03_SSLR,310,True Sample,Gut_content,SSLR,Farmed,Healthy,199.4,26.4,1.08371073,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-S03-SSLR,S03_SSLR,203,True Sample,Gut_content,SSLR,Farmed,Sick,152.8,24,1.105324074,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C03-SSLR,C03_SSLR,28,True Sample,Gut_content,SSLR,Wild,,3044,67,1.012,M,Fish,Yes,No,Alta,,
NXT065-CP-M03-SSLR,M03_SSLR,28,True Sample,Gut_mucus,SSLR,Wild,,3044,67,1.012,M,Fish,Yes,No,Alta,,
NXT065-CP-S04-SSLR,S04_SSLR,502,True Sample,Gut_content,SSLR,Farmed,Sick,180,25,1.152,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H04-SSLR,H04_SSLR,404,True Sample,Gut_content,SSLR,Farmed,Healthy,180.4,24.7,1.197142016,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C04-SSLR,C04_SSLR,32,True Sample,Gut_content,SSLR,Wild,,3022,72,0.81,F,Empty,No,Yes,Alta,,
NXT065-CP-M04-SSLR,M04_SSLR,32,True Sample,Gut_mucus,SSLR,Wild,,3022,72,0.81,F,Empty,No,Yes,Alta,,
NXT065-CP-S05-SSLR,S05_SSLR,505,True Sample,Gut_content,SSLR,Farmed,Sick,223.4,26.7,1.173679137,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H05-SSLR,H05_SSLR,501,True Sample,Gut_content,SSLR,Farmed,Healthy,182.8,24.4,1.258365238,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C05-SSLR,C05_SSLR,34,True Sample,Gut_content,SSLR,Wild,,4028,75,0.955,M,Empty,Yes,No,Alta,,
NXT065-CP-M05-SSLR,M05_SSLR,34,True Sample,Gut_mucus,SSLR,Wild,,4028,75,0.955,M,Empty,Yes,No,Alta,,
NXT065-CP-S06-SSLR,S06_SSLR,507,True Sample,Gut_content,SSLR,Farmed,Sick,224.2,26.2,1.246613238,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H06-SSLR,H06_SSLR,504,True Sample,Gut_content,SSLR,Farmed,Healthy,208.4,25.8,1.213496692,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C06-SSLR,C06_SSLR,12,True Sample,Gut_content,SSLR,Wild,,3118,66,1.085,F,Fish,No,Yes,Andøya,,
NXT065-CP-M06-SSLR,M06_SSLR,12,True Sample,Gut_mucus,SSLR,Wild,,3118,66,1.085,F,Fish,No,Yes,Andøya,,
NXT065-CP-S07-SSLR,S07_SSLR,509,True Sample,Gut_content,SSLR,Farmed,Sick,197.2,26.4,1.071754042,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H07-SSLR,H07_SSLR,604,True Sample,Gut_content,SSLR,Farmed,Healthy,197.2,25.4,1.203388234,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C07-SSLR,C07_SSLR,17,True Sample,Gut_content,SSLR,Wild,,3446,76,0.785,F,Empty,Yes,No,Andøya,,
NXT065-CP-M07-SSLR,M07_SSLR,17,True Sample,Gut_mucus,SSLR,Wild,,3446,76,0.785,F,Empty,Yes,No,Andøya,,
NXT065-CP-S08-SSLR,S08_SSLR,602,True Sample,Gut_content,SSLR,Farmed,Sick,172,24.8,1.127647612,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H08-SSLR,H08_SSLR,702,True Sample,Gut_content,SSLR,Farmed,Healthy,230.8,26.8,1.199033791,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C08-SSLR,C08_SSLR,26,True Sample,Gut_content,SSLR,Wild,,3716,71,1.038,F,Empty,No,Yes,Andøya,,
NXT065-CP-M08-SSLR,M08_SSLR,26,True Sample,Gut_mucus,SSLR,Wild,,3716,71,1.038,F,Empty,No,Yes,Andøya,,
NXT065-CP-S09-SSLR,S09_SSLR,608,True Sample,Gut_content,SSLR,Farmed,Sick,204,26.4,1.108711078,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H09-SSLR,H09_SSLR,808,True Sample,Gut_content,SSLR,Farmed,Healthy,177.4,24.4,1.221192523,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C09-SSLR,C09_SSLR,30,True Sample,Gut_content,SSLR,Wild,,3390,68,1.078,M,Empty,No,No,Andøya,,
NXT065-CP-M09-SSLR,M09_SSLR,30,True Sample,Gut_mucus,SSLR,Wild,,3390,68,1.078,M,Empty,No,No,Andøya,,
NXT065-CP-S10-SSLR,S10_SSLR,609,True Sample,Gut_content,SSLR,Farmed,Sick,219.8,26.5,1.181109238,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H10-SSLR,H10_SSLR,809,True Sample,Gut_content,SSLR,Farmed,Healthy,224.4,27,1.140070111,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C10-SSLR,C10_SSLR,36,True Sample,Gut_content,SSLR,Wild,,3628,67,1.206,M,Empty,No,No,Andøya,,
NXT065-CP-M10-SSLR,M10_SSLR,36,True Sample,Gut_mucus,SSLR,Wild,,3628,67,1.206,M,Empty,No,No,Andøya,,
NXT065-CP-S11-SSLR,S11_SSLR,703,True Sample,Gut_content,SSLR,Farmed,Sick,210.8,26,1.199362767,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H11-SSLR,H11_SSLR,810,True Sample,Gut_content,SSLR,Farmed,Healthy,197.8,25.2,1.236017629,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C11-SSLR,C11_SSLR,18,True Sample,Gut_content,SSLR,Wild,,3144,65,1.145,M,Fish,Yes,NA,Bugøynes,,
NXT065-CP-M11-SSLR,M11_SSLR,18,True Sample,Gut_mucus,SSLR,Wild,,3144,65,1.145,M,Fish,Yes,NA,Bugøynes,,
NXT065-CP-S12-SSLR,S12_SSLR,706,True Sample,Gut_content,SSLR,Farmed,Sick,224,26.5,1.203678204,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H12-SSLR,H12_SSLR,903,True Sample,Gut_content,SSLR,Farmed,Healthy,215.4,26.7,1.131649445,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C12-SSLR,C12_SSLR,35,True Sample,Gut_content,SSLR,Wild,,3312,69,1.008,M,Krill,Yes,NA,Bugøynes,,
NXT065-CP-M12-SSLR,M12_SSLR,35,True Sample,Gut_mucus,SSLR,Wild,,3312,69,1.008,M,Krill,Yes,NA,Bugøynes,,
NXT065-CP-H13-SSLR,H13_SSLR,908,True Sample,Gut_content,SSLR,Farmed,Healthy,194.6,25.2,1.216021388,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-S13-SSLR,S13_SSLR,710,True Sample,Gut_content,SSLR,Farmed,Sick,190.4,25.9,1.095891736,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C13-SSLR,C13_SSLR,7,True Sample,Gut_content,SSLR,Wild,,3050,65,1.111,M,Fish,Yes,No,Månes_Tosken,,
NXT065-CP-M13-SSLR,M13_SSLR,7,True Sample,Gut_mucus,SSLR,Wild,,3050,65,1.111,M,Fish,Yes,No,Månes_Tosken,,
NXT065-CP-H14-SSLR,H14_SSLR,910,True Sample,Gut_content,SSLR,Farmed,Healthy,207.8,25.9,1.196041506,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-S14-SSLR,S14_SSLR,803,True Sample,Gut_content,SSLR,Farmed,Sick,196.4,26.3,1.079628245,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C14-SSLR,C14_SSLR,11,True Sample,Gut_content,SSLR,Wild,,3290,64,1.255,M,Empty,No,No,Månes_Tosken,,
NXT065-CP-M14-SSLR,M14_SSLR,11,True Sample,Gut_mucus,SSLR,Wild,,3290,64,1.255,M,Empty,No,No,Månes_Tosken,,
NXT065-CP-H15-SSLR,H15_SSLR,1001,True Sample,Gut_content,SSLR,Farmed,Healthy,245,27,1.244728954,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-S15-SSLR,S15_SSLR,806,True Sample,Gut_content,SSLR,Farmed,Sick,157.8,24.4,1.086269335,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C15-SSLR,C15_SSLR,13,True Sample,Gut_content,SSLR,Wild,,3092,67,1.028,F,Fish,Yes,No,Månes_Tosken,,
NXT065-CP-M15-SSLR,M15_SSLR,13,True Sample,Gut_mucus,SSLR,Wild,,3092,67,1.028,F,Fish,Yes,No,Månes_Tosken,,
NXT065-CP-S16-SSLR,S16_SSLR,1004,True Sample,Gut_content,SSLR,Farmed,Sick,211.4,26,1.202776513,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H16-SSLR,H16_SSLR,1003,True Sample,Gut_content,SSLR,Farmed,Healthy,183,25,1.1712,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C16-SSLR,C16_SSLR,23,True Sample,Gut_content,SSLR,Wild,,3274,68.5,1.019,F,Fish,No,Yes,Månes_Tosken,,
NXT065-CP-M16-SSLR,M16_SSLR,23,True Sample,Gut_mucus,SSLR,Wild,,3274,68.5,1.019,F,Fish,No,Yes,Månes_Tosken,,
NXT065-CP-S17-SSLR,S17_SSLR,1005,True Sample,Gut_content,SSLR,Farmed,Sick,189.6,24.8,1.243034809,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H17-SSLR,H17_SSLR,1008,True Sample,Gut_content,SSLR,Farmed,Healthy,199.6,25.6,1.18970871,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C17-SSLR,C17_SSLR,4,True Sample,Gut_content,SSLR,Wild,,2520,59,1.227,M,Fish,No,No,Nordkapp,,
NXT065-CP-M17-SSLR,M17_SSLR,4,True Sample,Gut_mucus,SSLR,Wild,,2520,59,1.227,M,Fish,No,No,Nordkapp,,
NXT065-CP-S18-SSLR,S18_SSLR,1010,True Sample,Gut_content,SSLR,Farmed,Sick,214.4,25.7,1.263064157,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H18-SSLR,H18_SSLR,1101,True Sample,Gut_content,SSLR,Farmed,Healthy,205,25.5,1.236326903,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C18-SSLR,C18_SSLR,14,True Sample,Gut_content,SSLR,Wild,,3022,65.5,1.075,M,Empty,No,No,Nordkapp,,
NXT065-CP-M18-SSLR,M18_SSLR,14,True Sample,Gut_mucus,SSLR,Wild,,3022,65.5,1.075,M,Empty,No,No,Nordkapp,,
NXT065-CP-S19-SSLR,S19_SSLR,1104,True Sample,Gut_content,SSLR,Farmed,Sick,215.8,26,1.227810651,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H19-SSLR,H19_SSLR,1102,True Sample,Gut_content,SSLR,Farmed,Healthy,239.2,26.7,1.256687778,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C19-SSLR,C19_SSLR,15,True Sample,Gut_content,SSLR,Wild,,2637,62,1.106,M,Fish+Krill,Yes,No,Nordkapp,,
NXT065-CP-M19-SSLR,M19_SSLR,15,True Sample,Gut_mucus,SSLR,Wild,,2637,62,1.106,M,Fish+Krill,Yes,No,Nordkapp,,
NXT065-CP-S20-SSLR,S20_SSLR,1106,True Sample,Gut_content,SSLR,Farmed,Sick,182.4,25.5,1.1000294,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H20-SSLR,H20_SSLR,1110,True Sample,Gut_content,SSLR,Farmed,Healthy,211.2,26.3,1.16098516,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C20-SSLR,C20_SSLR,20,True Sample,Gut_content,SSLR,Wild,,2986,66.5,1.015,M,Krill,No,No,Nordkapp,,
NXT065-CP-M20-SSLR,M20_SSLR,20,True Sample,Gut_mucus,SSLR,Wild,,2986,66.5,1.015,M,Krill,No,No,Nordkapp,,
NXT065-CP-C01-MDA,C01,6,True Sample,Gut_content,MDA,Wild,,3056,64,1.166,M,Fish,No,No,Alta,0.52974,
NXT065-CP-C02-MDA,C02,10,True Sample,Gut_content,MDA,Wild,,4216,73,1.084,M,Fish,Yes,No,Alta,11.745658,
NXT065-CP-C03-MDA,C03,28,True Sample,Gut_content,MDA,Wild,,3044,67,1.012,M,Fish,Yes,No,Alta,12.978212,
NXT065-CP-C04-MDA,C04,32,True Sample,Gut_content,MDA,Wild,,3022,72,0.81,F,Empty,No,Yes,Alta,38.742272,
NXT065-CP-C05-MDA,C05,34,True Sample,Gut_content,MDA,Wild,,4028,75,0.955,M,Empty,Yes,No,Alta,12.371614,
NXT065-CP-C06-MDA,C06,12,True Sample,Gut_content,MDA,Wild,,3118,66,1.085,F,Fish,No,Yes,Andøya,2.732527,
NXT065-CP-C07-MDA,C07,17,True Sample,Gut_content,MDA,Wild,,3446,76,0.785,F,Empty,Yes,No,Andøya,0.459723,
NXT065-CP-C08-MDA,C08,26,True Sample,Gut_content,MDA,Wild,,3716,71,1.038,F,Empty,No,Yes,Andøya,2.66735,
NXT065-CP-C09-MDA,C09,30,True Sample,Gut_content,MDA,Wild,,3390,68,1.078,M,Empty,No,No,Andøya,0.305815,
NXT065-CP-C10-MDA,C10,36,True Sample,Gut_content,MDA,Wild,,3628,67,1.206,M,Empty,No,No,Andøya,25.916801,
NXT065-CP-C11-MDA,C11,18,True Sample,Gut_content,MDA,Wild,,3144,65,1.145,M,Fish,Yes,NA,Bugøynes,0.084601,
NXT065-CP-C12-MDA,C12,35,True Sample,Gut_content,MDA,Wild,,3312,69,1.008,M,Krill,Yes,NA,Bugøynes,0.451334,
NXT065-CP-C13-MDA,C13,7,True Sample,Gut_content,MDA,Wild,,3050,65,1.111,M,Fish,Yes,No,Månes_Tosken,2.583781,
