vOTU_ID,Kingdom,Phylum,Class,Order,Family,Specie,Genus,Subgenus
vOTU_2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified
vOTU_13,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_25,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_28,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_29,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_32,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_46,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_52,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_57,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_60,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_64,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_65,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_68,Viruses,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
vOTU_72,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_73,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_79,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
vOTU_84,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified,Unclassified
