,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,Positive_control_MDA,Negative_control1,Negative_control2,Negative_control3,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
vOTU_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,94,174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,3,2706,634,3,3,4,3,2
vOTU_25,0,0,0,0,0,0,2,0,209,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,482,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_28,0,0,0,0,0,0,2,0,199,0,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,482,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_29,0,0,0,0,0,0,21,0,205,0,10,0,2,1,43,3,0,1,1121,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,18,1,325,0,6,1,2,0,19,3,1,1,769,1,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1
vOTU_32,0,0,0,0,0,0,23,0,208,1,11,0,2,2,42,3,1,1,1184,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,16,1,331,0,7,0,2,0,20,3,1,2,810,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0
vOTU_46,0,0,0,0,0,0,0,0,0,0,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_60,0,0,0,2,6,6,1,0,21,0,1,0,22,1,0,1,0,0,75,20,1,1,1,0,0,0,2,111,3,2,0,5,194,2,5,0,3,1,4,15,0,0,0,0,11,0,5,1,35,0,1,0,8,0,0,1,1,0,118,8,0,0,0,0,2,0,1,0,349,3,1,1,0,20,3,10,0,0,2,5,0,5,1,0
vOTU_64,0,0,2,3,1,1,3,1,1,1,1,1467,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2205,1,0,1,1,0,1,0,1,0,21,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
vOTU_65,1,0,1,1,0,0,1,1,8,1,389,10,0,0,1,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,35,0,33,59,1,0,1,0,0,1,160,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_68,0,0,1,0,3,5,1,0,1247,2,1,0,12,0,0,0,0,0,31,5,0,0,0,3,0,0,2,6,0,0,0,2,27,0,0,0,0,1,4,10,0,1,1,2,3,1,2,3,1906,1,2,0,1,0,0,1,0,0,49,3,0,0,0,0,0,0,0,0,6,1,0,0,1,5,0,0,0,0,1,0,0,1,1,2
