vOTU,C01,C01_SSLR,C02,C02_SSLR,C03,C03_SSLR,C04,C04_SSLR,C05,C05_SSLR,C06,C06_SSLR,C07,C07_SSLR,C08,C08_SSLR,C09,C09_SSLR,C10,C10_SSLR,C11,C11_SSLR,C12,C12_SSLR,C13,C13_SSLR,C14,C14_SSLR,C15,C15_SSLR,C16,C16_SSLR,C17,C17_SSLR,C18,C18_SSLR,C19,C19_SSLR,C20,C20_SSLR,H01,H01_SSLR,H02,H02_SSLR,H03,H03_SSLR,H04,H04_SSLR,H05,H05_SSLR,H06,H06_SSLR,H07,H07_SSLR,H08,H08_SSLR,H09,H09_SSLR,H10,H10_SSLR,H11,H11_SSLR,H12,H12_SSLR,H13,H13_SSLR,H14,H14_SSLR,H15,H15_SSLR,H16,H16_SSLR,H17,H17_SSLR,H18,H18_SSLR,H19,H19_SSLR,H20,H20_SSLR,M01,M01_SSLR,M02,M02_SSLR,M03,M03_SSLR,M04,M04_SSLR,M05,M05_SSLR,M06,M06_SSLR,M07,M07_SSLR,M08,M08_SSLR,M09,M09_SSLR,M10,M10_SSLR,M11,M11_SSLR,M12,M12_SSLR,M13,M13_SSLR,M14,M14_SSLR,M15,M15_SSLR,M16,M16_SSLR,M17,M17_SSLR,M18,M18_SSLR,M19,M19_SSLR,M20,M20_SSLR,Positive_control_MDA,NCTR1_SSLR,NCTR2_SSLR,NCTR3_SSLR,NCTR_PCR_SSLR,Negative_control1,Negative_control2,Negative_control3,S01,S01_SSLR,S02,S02_SSLR,S03,S03_SSLR,S04,S04_SSLR,S05,S05_SSLR,S06,S06_SSLR,S07,S07_SSLR,S08,S08_SSLR,S09,S09_SSLR,S10,S10_SSLR,S11,S11_SSLR,S12,S12_SSLR,S13,S13_SSLR,S14,S14_SSLR,S15,S15_SSLR,S16,S16_SSLR,S17,S17_SSLR,S18,S18_SSLR,S19,S19_SSLR,S20,S20_SSLR
vOTU_10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22192482,0,0,0,0,0,0,0,0,0,0,0,7.066558042,3.611397429,0,0,0,0,0,0,9.889780305,3.256126663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.195697655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965546728,0,0,0,143.4956274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01833215,0,0,8.648325042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_10034,0,0,0,0,0,0,0,0,0,0,8.260092634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.438658149,0,0,0,0,0.588953912,0,0,0,0,0,477.4989759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.307845868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721251566,0,24.19324681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.58037048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3296.462444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1004,0,74.2661923,1.919362499,371.880688,0.914890569,236.7952299,56.40599302,56.34983306,1.965960639,208.1988761,0.422801552,118.6894015,22.08799891,53.10492382,4.388424055,208.8897019,4.268748892,61.29764455,9.703030535,206.537439,0.27272238,28.52975753,0.288423156,18.03901668,45.26763004,259.0365925,1.378940267,327.3810992,3.800886456,199.795962,173.1264049,462.4419366,5.878514282,158.9533232,2.871579511,352.3669406,0.690832697,2.501959159,3.145719677,67.45131302,1165.393869,251.3981239,440.859138,214.1496719,596.5373688,214.4633544,654.3842542,214.9793873,463.9624214,314.4386957,637.9747919,386.7355553,656.5387371,344.216777,584.1745751,229.4358556,411.7433213,273.5651088,556.8694164,360.9351612,904.3455912,295.2755906,519.2918194,340.2174907,256.5240038,171.7234779,436.3976044,192.5012161,626.9632711,283.0522453,440.5913113,231.7091962,565.4366795,450.1431451,509.8194711,295.8952894,445.6636776,244.0262584,396.2376191,217.202244,1.784687787,261.4751999,2.602181263,423.6607279,2.192660375,223.6469804,62.38505336,154.3546336,0.995185952,160.0197484,2.657914303,240.3140658,44.51470223,81.01800453,16.05386425,233.1510996,36.99996635,92.05275935,21.13373789,380.2133264,83.78607277,45.26178642,53.12728756,127.419004,5.986045574,248.8393946,3.538565886,238.6915661,18.58002909,358.1886315,111.133027,473.063491,1.626846512,265.578826,11.08924673,453.694147,2.076638739,3.243536036,8.624270929,190.9753581,0.128153639,0,145.2261338,0,81.39069866,0,9.975581472,0,328.2059845,276.3036271,0,179.9713324,379.6805394,326.2543289,692.1523516,356.1498971,252.1926499,125.067681,469.0272129,385.4258477,314.6081011,166.6726791,457.4910704,210.415729,678.5714667,311.5340387,725.7029503,363.9824513,420.9084533,326.0701817,712.1849904,369.2635287,542.1660676,228.7006754,149.623971,182.4821264,444.6429775,240.5534611,221.3756068,343.9508509,602.7075039,390.9915295,740.8952436,185.3686939,770.9955683,361.7869742,493.200515,137.1158197
vOTU_10044,0,0,0,0,0,0,0,0,0,0,0,0,6.395419652,0,0,0,0,0,0,0,52.59054639,0,7.14017595,0,0,0,0,0,0,0,0,0,0,0,0,0,10.35132427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56668599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.98411483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_10097,9.969945162,0,0,0,0,0,0,0,0,0,0,0,14.42879665,0,0,0,105.0343948,0,0,0,110.0989037,0,22.23237566,0,0,0,0,0,1.418798066,0,11.69931159,0,0,0,0,0,20.75890574,0,0,0,0,6.503908016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.100633933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.53942453,0,0,0,330.6443965,0,0,0,7.913137803,0,2.586704115,0,0,0,0,0,3.310157815,0,39.17917183,0,0,0,0,10.17585671,17.00204973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.358285416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_10098,0,0,0,0,0,0,0,0,0,0,0,4.080675676,0,0,0,0,0,0,0,0,12.11444248,0,0,0,8.827072453,0,0,0,0,0,42.89747584,0,0.590782962,0,0,0,0.451280559,3.268766906,13.45034954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.984718381,0,0,0,0,0,0,0,0,3.564268669,0,0,0,0,0,0,0,0,1.699852687,0,0,0,0,0,0,0,0,0,23.26307925,0,0,0,27.07030146,4.45427251,0,0,18.46398821,0,0.862234705,1.839455827,3.475851687,0,0,0,0,0,11.52328583,0,0,0,0,0,15.19332103,0.770477169,0,0,0,0,379.4709265,0,0,1154.208398,2545.765036,2308.142289,0,0,2707.848741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.191305957,0,0,0,0,0,0,4.449167443,0,0,0,0,0,0,0,0
vOTU_10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.35602831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.935095365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95970055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_1012,0.764248735,0,0,0,0,0,0,0,0,0,0,0,4.915747347,0,0,0,0,0,0,0,9.013229176,0,0.144426146,0,0.676641531,0,0,0,0,1.389536341,20.92565458,0,0.452866213,0,0,0,1.037790854,0,9.737600342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.465091653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.576705411,0,2.719067669,0,0,0,0,0,0,0,0,0,0,0.443644824,0,20.43292831,0.863176054,0,0,11.85760564,0,0,0,12.13167266,0,0,0,0.666105784,0,0,0,1.268705034,0,9.71652514,0,0,0,0,0,8.457562628,0.885916911,0,0,0,0,145.442212,0,0,766.7932515,1821.587287,1435.108999,0,0,1816.244923,180.239107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790167182,0,0,0,1.606428232,0,0,0,0,0,0,1.705260428,0,0,0,0,0,0,2.175922181,0
vOTU_1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33359888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.53690778,0,0,0,0,0,7.885392859,26.36127945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567.9961342,46.73699563,0,0,0,0,70.50033382,32.93410068,0,0,0,0,41.41029607,0
